appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,3,1,Brosafe,Bromelain 100 F.I.P U,Viên nén bao phim,Hộp 3 vỉ x 10 viên; Hộp 6 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,TCCS,36,893100004123,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,2,Buvamed 400,Dexibuprofen 400mg,Bột pha hỗn dịch uống,Hộp 10 gói; Hộp 20 gói; Hộp 30 gói; Hộp 50 gói; Hộp 100 gói,TCCS,36,893110004223,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,3,Ramipril 1.25,"Ramipril 1,25mg",Viên nén,Hộp 3 vỉ x 10 viên; Hộp 10 vỉ x 10 viên,TCCS,36,893110004323,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,4,Ibsaga 10,Dicyclomin hydrochlorid 10mg,Viên nang cứng,Hộp 3 vỉ x 10 viên,TCCS,36,893100004423,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,5,Ibsaga 20,Dicyclomin hydrochlorid 20mg,Viên nén,Hộp 3 vỉ x 10 viên,TCCS,36,893100004523,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,6,Cetrimide,"Cetrimide 0,5% (kl/tt)",Dung dịch xịt ngoài da,Hộp 01 lọ x 100ml,TCCS,36,893100004623,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,7,Ramipril Cap DWP 10mg,Ramipril 10mg,Viên nang cứng,Hộp 6 vỉ x 10 viên,TCCS,24,893110004723,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,8,Ursodeoxycholic DWP 450mg,Acid ursodeoxycholic4 50mg,Viên nén bao phim,Hộp 6 vỉ x 10 viên,TCCS,36,893110004823,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,9,Eferoxol 30,Ambroxol hydroclorid 30mg,Viên sủi,Hộp 1 tuýp x 10 viên; Hộp 1 tuýp x 20 viên; Hộp 2 vỉ x 4 viên; Hộp 3 vỉ x 4 viên; Hộp 5 vỉ x 4 viên; Hộp 10 vỉ x 4 viên,TCCS,36,893100004923,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,10,Haxidia 10,Glipizid 10mg,Viên nén,Hộp 3 vỉ x 10 viên,TCCS,36,893110005023,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,11,Atorvastatin 60,Atorvastatin 60mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,TCCS,36,893110005123,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,12,Ocetamino,Calci lactat (dưới dạng pentahydrat) 300mg,Viên nang cứng,Hộp 1 túi x 10 vỉ x 10 viên; Hộp 1 túi x 5 vỉ x 10 viên,TCCS,36,893110005223,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,13,Mife Plus,Misoprostol HPMC 1% Dispersion tương đương Misoprostol 200mcg; Mifepristone (dạng micronised) 200mg,Viên nén,Hộp 1 vỉ x 5 viên (4 viên nén misoprostol và 1 viên nén mifepristone),TCCS,36,893110005323,,
Phụ lục II,Cấp giấy đăng ký lưu hành,6,1,"Augbidil 250mg/62,5mg","Amoxicillin (dưới dạng Amoxicillin trihydrat) 250mg; Acid clavulanic (dưới dạng Potassium clavulanate with silicon dioxide (1:1)) 62,5mg",Bột pha hỗn dịch uống,Hộp 12 gói; Hộp 20 gói,TCCS,24,893110005423,,
Phụ lục II,Cấp giấy đăng ký lưu hành,6,2,Enladold,Paracetamol 325mg; Clorpheniramin maleat 2mg,Thuốc bột uống,Hộp 20 gói; Hộp 50 gói; Hộp 100 gói x 3g,TCCS,36,893100005523,,
Phụ lục II,Cấp giấy đăng ký lưu hành,6,3,Cefdinir suspension,"Mỗi gói 1,5g chứa: Cefdinir 125mg",Cốm pha hỗn dịch uống,"Hộp 20 gói x 1,5g; Hộp 24 gói x 1,5g; Hộp 30 gói x 1,5g",TCCS,24,893110005623,,
Phụ lục II,Cấp giấy đăng ký lưu hành,7,4,Oza-100,Urea C-13 100mg,Viên nén,Hộp 5 vỉ x 2 viên; Hộp 1 vỉ x 10 viên,TCCS,36,893110005723,,
Phụ lục II,Cấp giấy đăng ký lưu hành,7,5,Stadfovir 25,Tenofovir alafenamide (dưới dạng Tenofovir alafenamide fumarate 28 mg) 25mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,TCCS,24,893110005823,,
