appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,3,1,Ceclor,"Cefaclor (dưới dạng cefaclor monohydrate 392,3mg) 375mg",Viên nén bao phim giải phóng chậm,Hộp 1 vỉ x 10 viên,NSX,24,800110046026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,2,Siofor 850,Metformin hydrochloride 850mg,Viên nén bao phim,"Hộp 2 vỉ x 15 viên, hộp 4 vỉ x 15 viên, hộp 8 vỉ x 15 viên",NSX,60,400110046126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,3,Vast-20,Atorvastatin (dưới dạng Atorvastatin calcium) 20mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên; hộp 10 vỉ x 10 viên,NSX,36,890110046226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,4,Azadine,Azacitidin 100mg,Thuốc bột đông khô pha tiêm,Hộp 01 lọ,NSX,24,890114046326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,5,Varcod 100,"Nintedanib (dưới dạng nintedanib esylate 120,4mg) 100mg",Viên nang mềm,Hộp 06 vỉ x 10 viên,NSX,24,890110046426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,6,Varcod 150,"Nintedanib (dưới dạng nintedanib esylate 180,6 mg) 150mg",Viên nang mềm,Hộp 06 vỉ x 10 viên,NSX,24,890110046526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,7,Pristony 200,Mifepristone 200mg,Viên nén không bao,Hộp lớn chứa 10 hộp nhỏ x 1 vỉ x 1 viên,NSX,24,890110046626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,8,Lipograsil 120,Orlistat (vi hạt 50% w/w) 240mg Tương đương Orlistat 120mg,Viên nang cứng,Hộp 3 vỉ x 10 viên,USP,30,890110046726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,9,Etoricoxib Tablets 60 mg,Etoricoxib 60mg,Viên nén bao phim,Chai x 30 viên; Chai x 100 viên; Hộp 3 vỉ x 10 viên,NSX,24,890110046826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,10,Apixaban Film Coated Tablets 2.5 mg,"Apixaban 2,5mg",Viên nén bao phim,Hộp 10 vỉ x 10 viên; Chai x 100 viên,NSX,30,890110046926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,11,Apixaban Film Coated Tablets 5 mg,Apixaban 5mg,Viên nén bao phim,Hộp 10 vỉ x 10 viên; Chai x 100 viên; Chai x 500 viên,NSX,30,890110047026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,12,Caspofungin Teva 50mg,"Caspofungin (tương đương 55,52mg Caspofungin acetate) 50mg",Bột đông khô pha dung dịch đậm đặc để pha dung dịch tiêm truyền,Hộp 1 lọ 50mg,NSX,24,520110047126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,13,Caspofungin Teva 70mg,"Caspofungin (tương đương 77,69mg Caspofungin acetate) 70mg",Bột đông khô pha dung dịch đậm đặc để pha dung dịch tiêm truyền,Hộp 1 lọ 70mg,NSX,24,520110047226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,14,Fulvestrant Teva 250mg/5ml,Mỗi bơm tiêm 5ml chứa sẵn fulvestrant 250mg,Dung dịch tiêm,Hộp chứa 1 bơm tiêm đóng sẵn thuốc (5ml/ bơm tiêm) và 1 kim tiêm an toàn; Hộp chứa 2 bơm tiêm đóng sẵn thuốc (5ml/ bơm tiêm) và 2 kim tiêm an toàn,NSX,24,385114047326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,15,Rivaroxaban Teva 10mg,Rivaroxaban 10mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,24,535110047426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,16,Rivaroxaban Teva 15mg,Rivaroxaban 15mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,535110047526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,17,Rivaroxaban Teva 20mg,Rivaroxaban 20mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,535110047626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,18,"Lisinopril HCT Teva 10/12,5","Lisinopril (tương đương 10,89mg lisinopril dihydrate) 10mg, Hydrochlorothiazide 12,5mg",Viên nén,Hộp 2 vỉ x 14 viên,NSX,24,599110047726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,19,"Lisinopril HCT Teva 20/12,5","Lisinopril (tương đương 21,78mg lisinopril dihydrate) 20mg, Hydrochlorothiazide 12,5mg",Viên nén,Hộp 2 vỉ x 14 viên,NSX,24,599110047826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,20,Polzycyna 250 mg,Azithromycin (dưới dạng Azithromycin dihydrat) 250mg,Viên nén bao phim,Hộp 2 vỉ x 3 viên,NSX,36,590110047926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,21,Telmicheck 80,Telmisartan 80mg,Viên nén không bao,Hộp 01 vỉ x 10 viên,USP hiện hành,36,890110048026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,22,Ezesim 10/10,"Ezetimibe 10mg, Simvastatin 10mg",Viên nén,"Hộp 1 vỉ x 10 viên, vỉ Alu-Alu",NSX,24,890110048126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,23,Ezesim 10/20,"Ezetimibe 10mg, Simvastatin 20mg",Viên nén,"Hộp 1 vỉ x 10 viên, vỉ Alu - Alu",NSX,24,890110048226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,24,Ezesim 10/40,"Ezetimibe 10mg, Simvastatin 40mg",Viên nén,"Hộp 1 vỉ x 10 viên, vỉ Alu - Alu",NSX,24,890110048326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,25,Co- Amoxiclav for Injection BP 1.2 gm,"Amoxicillin (dưới dạng Amoxicillin natri); Acid clavulanic (dưới dạng Clavulanat kali) 1,000/200mg",Bột pha tiêm,"Hộp 1 lọ 1,2g",BP hiện hành,24,890110048426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,26,Cpotroil,Anhydrous Calcipotriol (dưới dạng Calcipotriol monohydrate 60mcg) 50.000µg (mcg)/1g,Thuốc mỡ,Hộp 1 Tuýp x 30 gam,BP 2023 + NSX,24,890110048526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,27,Tresondan,Mỗi 1ml dung dịch chứa: Ondansetron (dưới dạng Ondansetron hydrochloride dihydrate) 2mg,Dung dịch tiêm,Hộp 1 vỉ x 5 Ống x 2 ml; Hộp 1 vỉ x 5 Ống x 4 ml,NSX,24,482110048626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,28,Misol 100 mg Film Coated Tablet,"Sertraline hydrochloride 111,908mg tương đương với Sertraline 100mg",Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,868110048726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,29,Zeno 90 mg Film Coated Tablet,Deferasirox 90mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,24,868110048826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,30,Fexostal-120,Fexofenadine hydrochloride 120mg,Viên nén bao phim,Hộp 1 vỉ x 10 viên,USP 38,36,890100048926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,31,Piczonar Cream,"Mỗi 100g chứa Clobetasol Propionate 0,05g (0,05% kl/kl)",Kem bôi ngoài da,Hộp 1 tuýp x 5 gam,NSX,48,885110049026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,32,Momefin,Lọ 120 liều chứa: Mometasone furoate Monohydrate (Micronised) 6mg,Hỗn dịch xịt mũi,Hộp 1 Lọ x 120 Liều,BP 2021,24,890110049126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,33,Amfibays 2000 mg,Ampicillin (dưới dạng Ampicillin natri) 2000mg,Bột pha tiêm,Hộp 50 Lọ,NSX,36,594110049226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,34,Amfibays 250 mg,Ampicillin (dưới dạng Ampicillin natri) 250mg,Bột pha tiêm,Hộp 50 Lọ,NSX,36,594110049326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,35,Basiflux,"Bromhexine hydrochloride (0,08% kl/tt) 0,8mg/ml",Siro,"Hộp 1 Chai x 200ml, và muỗng nhựa PP có dung tích 5ml, có vạch chia ở các mức 1,25ml; 2,5ml; 3,75ml; 5ml",NSX,36,560100049426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,36,Basiflux,"Bromhexine hydrochloride (0,16% kl/tt) 1,6mg/ml",Siro,"Hộp 1 Chai x 200ml, và muỗng nhựa PP có dung tích 5ml, có vạch chia ở các mức 1,25ml; 2,5ml; 3,75ml; 5ml",NSX,36,560100049526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,37,Toceliv,"Dextromethorphan hydrobromide (0,2% kl/tt) hoặc 2mg/ml",Siro,Hộp 1 Chai x 200ml,NSX,36,560110049626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,38,Tadasartan 40 mg,Valsartan 40mg,Viên nén bao phim,Hộp 02 vỉ x 14 viên hoặc 07 vỉ x 14 viên,NSX,36,840110049726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,39,Waxicin,"Ciprofloxacin (dưới dạng 582,2mg Ciprofloxacin hydrochloride) 500mg",Viên nén bao phim,Hộp 10 vỉ x 10 Viên,USP 43,36,890115049826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,40,Bismed-5,Bisoprolol fumarate 5mg,Viên nén bao phim,Hộp 3 vỉ x 10 viên,USP 44 + NSX,36,890110049926,,
